AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,SEXO,RANGO_EDAD,NACIONALIDAD,CANTIDAD
2019,5,150601,REGIÓN LIMA,HUARAL,HUARAL,F,12-17 AÑOS,PERÚ,1
2022,8,120303,JUNÍN,CHANCHAMAYO,PICHANAQUI,M,30-59 AÑOS,PERÚ,1
2020,12,230108,TACNA,TACNA,POCOLLAY,M,60 A MAS AÑOS,PERÚ,1
2023,8,80701,CUSCO,CHUMBIVILCAS,SANTO TOMAS,F,12-17 AÑOS,PERÚ,1
2024,12,200601,PIURA,SULLANA,SULLANA,M,12-17 AÑOS,PERÚ,1
2025,7,40103,AREQUIPA,AREQUIPA,CAYMA,M,18-29 AÑOS,PERÚ,1
2022,1,200701,PIURA,TALARA,PARIÑAS,M,12-17 AÑOS,PERÚ,1
2024,7,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,60 A MAS AÑOS,PERÚ,1
2020,12,140104,LAMBAYEQUE,CHICLAYO,ETEN PUERTO,F,12-17 AÑOS,PERÚ,1
2021,1,110206,ICA,CHINCHA,GROCIO PRADO,F,12-17 AÑOS,PERÚ,1
2020,2,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,M,18-29 AÑOS,PERÚ,3
2019,5,81301,CUSCO,URUBAMBA,URUBAMBA,M,6-11 AÑOS,PERÚ,1
2019,5,150202,REGIÓN LIMA,BARRANCA,PARAMONGA,M,6-11 AÑOS,PERÚ,1
2021,8,150137,LIMA METROPOLITANA,LIMA,SANTA ANITA,F,12-17 AÑOS,PERÚ,4
2019,11,210608,PUNO,HUANCANE,VILQUE CHICO,M,12-17 AÑOS,PERÚ,1
2021,11,200401,PIURA,MORROPON,CHULUCANAS,F,12-17 AÑOS,PERÚ,4
2023,8,40128,AREQUIPA,AREQUIPA,YURA,F,30-59 AÑOS,PERÚ,1
2020,6,200115,PIURA,PIURA,26 DE OCTUBRE,F,12-17 AÑOS,PERÚ,4
2024,12,160101,LORETO,MAYNAS,IQUITOS,F,18-29 AÑOS,PERÚ,1
2019,6,240101,TUMBES,TUMBES,TUMBES,M,12-17 AÑOS,PERÚ,2
2024,4,90101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,F,6-11 AÑOS,PERÚ,1
2024,5,30101,APURIMAC,ABANCAY,ABANCAY,F,12-17 AÑOS,PERÚ,8
2024,4,40117,AREQUIPA,AREQUIPA,SACHACA,F,30-59 AÑOS,PERÚ,1
2022,10,130102,LA LIBERTAD,TRUJILLO,EL PORVENIR,F,12-17 AÑOS,PERÚ,4
2023,7,70106,CALLAO,CALLAO,VENTANILLA,F,18-29 AÑOS,PERÚ,3
2023,9,40208,AREQUIPA,CAMANA,SAMUEL PASTOR,F,12-17 AÑOS,PERÚ,1
2022,11,50101,AYACUCHO,HUAMANGA,AYACUCHO,M,60 A MAS AÑOS,PERÚ,4
2021,8,20611,ÁNCASH,CARHUAZ,YUNGAR,M,12-17 AÑOS,PERÚ,1
2021,3,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,M,60 A MAS AÑOS,PERÚ,1
2020,11,30104,APURIMAC,ABANCAY,CURAHUASI,F,12-17 AÑOS,PERÚ,1
2020,11,220910,SAN MARTÍN,SAN MARTIN,MORALES,M,30-59 AÑOS,PERÚ,1
2020,6,21809,ÁNCASH,SANTA,NUEVO CHIMBOTE,F,12-17 AÑOS,VENEZUELA,1
2025,5,130105,LA LIBERTAD,TRUJILLO,LA ESPERANZA,M,30-59 AÑOS,PERÚ,1
2020,8,81306,CUSCO,URUBAMBA,OLLANTAYTAMBO,F,12-17 AÑOS,PERÚ,1
2024,9,150407,REGIÓN LIMA,CANTA,SANTA ROSA DE QUIVES,M,12-17 AÑOS,PERÚ,1
2020,5,150125,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,M,18-29 AÑOS,PERÚ,2
2020,10,150142,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,F,18-29 AÑOS,PERÚ,3
2019,2,150121,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,M,60 A MAS AÑOS,PERÚ,1
2019,8,120101,JUNÍN,HUANCAYO,HUANCAYO,F,12-17 AÑOS,PERÚ,9
2022,10,50116,AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES,F,12-17 AÑOS,PERÚ,2
2024,11,150140,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,F,30-59 AÑOS,PERÚ,1
2021,12,30504,APURIMAC,COTABAMBAS,HAQUIRA,F,12-17 AÑOS,PERÚ,1
2023,1,50115,AYACUCHO,HUAMANGA,JESUS NAZARENO,M,18-29 AÑOS,PERÚ,1
2019,11,150131,LIMA METROPOLITANA,LIMA,SAN ISIDRO,F,60 A MAS AÑOS,PERÚ,1
2024,8,21511,ÁNCASH,PALLASCA,TAUCA,M,60 A MAS AÑOS,PERÚ,1
2020,5,150117,LIMA METROPOLITANA,LIMA,LOS OLIVOS,F,60 A MAS AÑOS,PERÚ,1
2023,12,80104,CUSCO,CUSCO,SAN JERONIMO,M,12-17 AÑOS,PERÚ,2
2024,9,130102,LA LIBERTAD,TRUJILLO,EL PORVENIR,M,18-29 AÑOS,PERÚ,1
2025,2,40501,AREQUIPA,CAYLLOMA,CHIVAY,M,12-17 AÑOS,PERÚ,1
2023,5,120604,JUNÍN,SATIPO,MAZAMARI,M,12-17 AÑOS,PERÚ,1
2024,4,81206,CUSCO,QUISPICANCHI,CUSIPATA,M,30-59 AÑOS,PERÚ,1
2023,12,150128,LIMA METROPOLITANA,LIMA,RIMAC,M,30-59 AÑOS,PERÚ,2
2023,2,160403,LORETO,MARISCAL RAMON CASTILLA,YAVARI,M,30-59 AÑOS,BRASIL,1
2021,10,70101,CALLAO,CALLAO,CALLAO,M,30-59 AÑOS,PERÚ,5
2024,7,21801,ÁNCASH,SANTA,CHIMBOTE,M,30-59 AÑOS,PERÚ,2
2024,10,130813,LA LIBERTAD,PATAZ,URPAY,M,30-59 AÑOS,PERÚ,1
2020,6,90119,HUANCAVELICA,HUANCAVELICA,HUANDO,M,12-17 AÑOS,PERÚ,1
2021,6,110101,ICA,ICA,ICA,F,18-29 AÑOS,PERÚ,1
2022,12,90118,HUANCAVELICA,HUANCAVELICA,ASCENSION,F,12-17 AÑOS,PERÚ,1
2023,4,90101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,M,18-29 AÑOS,PERÚ,2
2020,10,230110,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,M,18-29 AÑOS,PERÚ,2
2022,6,110201,ICA,CHINCHA,CHINCHA ALTA,F,12-17 AÑOS,PERÚ,2
2020,1,150801,REGIÓN LIMA,HUAURA,HUACHO,F,18-29 AÑOS,PERÚ,1
2022,7,210309,PUNO,CARABAYA,SAN GABAN,M,30-59 AÑOS,PERÚ,1
2019,12,130501,LA LIBERTAD,JULCAN,JULCAN,M,12-17 AÑOS,PERÚ,1
2019,11,120107,JUNÍN,HUANCAYO,CHILCA,F,12-17 AÑOS,PERÚ,16
2024,2,200405,PIURA,MORROPON,MORROPON,M,12-17 AÑOS,PERÚ,1
