AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,SEXO,RANGO_EDAD,NACIONALIDAD,CANTIDAD
2020,5,80105,CUSCO,CUSCO,SAN SEBASTIAN,F,18-29 AÑOS,PERÚ,1
2019,6,170101,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,F,12-17 AÑOS,PERÚ,6
2024,5,150805,REGIÓN LIMA,HUAURA,HUALMAY,M,12-17 AÑOS,PERÚ,2
2022,2,150103,LIMA METROPOLITANA,LIMA,ATE,M,12-17 AÑOS,PERÚ,1
2019,1,110106,ICA,ICA,PARCONA,M,60 A MAS AÑOS,PERÚ,1
2021,8,120301,JUNÍN,CHANCHAMAYO,CHANCHAMAYO,F,12-17 AÑOS,PERÚ,1
2020,1,120114,JUNÍN,HUANCAYO,EL TAMBO,F,60 A MAS AÑOS,PERÚ,1
2024,4,210101,PUNO,PUNO,PUNO,F,12-17 AÑOS,PERÚ,6
2019,4,150119,LIMA METROPOLITANA,LIMA,LURIN,M,30-59 AÑOS,PERÚ,1
2024,2,211101,PUNO,SAN ROMAN,JULIACA,M,0-5 AÑOS,PERÚ,1
2021,8,80401,CUSCO,CALCA,CALCA,M,12-17 AÑOS,PERÚ,1
2024,2,150119,LIMA METROPOLITANA,LIMA,LURIN,F,12-17 AÑOS,PERÚ,4
2024,3,240101,TUMBES,TUMBES,TUMBES,F,12-17 AÑOS,PERÚ,2
2023,12,150112,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,M,30-59 AÑOS,PERÚ,1
2025,7,80101,CUSCO,CUSCO,CUSCO,F,30-59 AÑOS,PERÚ,1
2020,12,61001,CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,F,12-17 AÑOS,PERÚ,1
2025,3,200115,PIURA,PIURA,26 DE OCTUBRE,M,12-17 AÑOS,PERÚ,1
2021,1,200207,PIURA,AYABACA,PAIMAS,F,12-17 AÑOS,PERÚ,1
2024,4,160201,LORETO,ALTO AMAZONAS,YURIMAGUAS,M,60 A MAS AÑOS,PERÚ,1
2019,12,120302,JUNÍN,CHANCHAMAYO,PERENE,F,12-17 AÑOS,PERÚ,3
2020,9,150801,REGIÓN LIMA,HUAURA,HUACHO,M,18-29 AÑOS,PERÚ,1
2019,12,80103,CUSCO,CUSCO,POROY,M,18-29 AÑOS,PERÚ,1
2023,11,21809,ÁNCASH,SANTA,NUEVO CHIMBOTE,M,30-59 AÑOS,PERÚ,1
2019,1,150111,LIMA METROPOLITANA,LIMA,EL AGUSTINO,F,12-17 AÑOS,PERÚ,5
2020,7,150133,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,F,6-11 AÑOS,PERÚ,1
2022,7,70103,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,F,18-29 AÑOS,PERÚ,1
2020,2,150122,LIMA METROPOLITANA,LIMA,MIRAFLORES,F,30-59 AÑOS,PERÚ,1
2022,5,150135,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,F,12-17 AÑOS,PERÚ,8
2019,3,150201,REGIÓN LIMA,BARRANCA,BARRANCA,F,30-59 AÑOS,PERÚ,1
2019,11,120706,JUNÍN,TARMA,PALCA,M,30-59 AÑOS,PERÚ,1
2020,6,250105,UCAYALI,CORONEL PORTILLO,YARINACOCHA,M,30-59 AÑOS,PERÚ,2
2021,2,140305,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,F,12-17 AÑOS,PERÚ,1
2021,3,150104,LIMA METROPOLITANA,LIMA,BARRANCO,M,30-59 AÑOS,PERÚ,1
2024,2,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,F,30-59 AÑOS,PERÚ,5
2019,5,40104,AREQUIPA,AREQUIPA,CERRO COLORADO,M,12-17 AÑOS,PERÚ,5
2024,9,150502,REGIÓN LIMA,CAÑETE,ASIA,F,12-17 AÑOS,PERÚ,1
2022,11,20101,ÁNCASH,HUARAZ,HUARAZ,M,18-29 AÑOS,PERÚ,1
2025,5,50401,AYACUCHO,HUANTA,HUANTA,F,12-17 AÑOS,PERÚ,1
2019,11,50503,AYACUCHO,LA MAR,AYNA,F,12-17 AÑOS,PERÚ,4
2021,8,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,F,12-17 AÑOS,PERÚ,6
2025,4,10702,AMAZONAS,UTCUBAMBA,CAJARURO,F,12-17 AÑOS,PERÚ,1
2022,12,150130,LIMA METROPOLITANA,LIMA,SAN BORJA,M,18-29 AÑOS,PERÚ,1
2024,5,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,F,12-17 AÑOS,PERÚ,1
2024,12,150103,LIMA METROPOLITANA,LIMA,ATE,M,60 A MAS AÑOS,PERÚ,3
2019,3,220601,SAN MARTÍN,MARISCAL CACERES,JUANJUI,F,18-29 AÑOS,PERÚ,1
2024,3,160108,LORETO,MAYNAS,PUNCHANA,M,18-29 AÑOS,PERÚ,1
2025,3,150119,LIMA METROPOLITANA,LIMA,LURIN,M,30-59 AÑOS,PERÚ,1
2024,2,200501,PIURA,PAITA,PAITA,F,0-5 AÑOS,PERÚ,1
2019,7,10604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,F,60 A MAS AÑOS,PERÚ,1
2021,1,150201,REGIÓN LIMA,BARRANCA,BARRANCA,F,12-17 AÑOS,PERÚ,1
2023,6,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,F,18-29 AÑOS,VENEZUELA,2
2022,11,60110,CAJAMARCA,CAJAMARCA,MATARA,M,60 A MAS AÑOS,PERÚ,1
2021,7,120606,JUNÍN,SATIPO,PANGOA,F,12-17 AÑOS,PERÚ,5
2024,7,150117,LIMA METROPOLITANA,LIMA,LOS OLIVOS,M,18-29 AÑOS,PERÚ,3
2019,7,80105,CUSCO,CUSCO,SAN SEBASTIAN,F,,PERÚ,1
2021,2,150128,LIMA METROPOLITANA,LIMA,RIMAC,F,60 A MAS AÑOS,PERÚ,2
2020,12,81212,CUSCO,QUISPICANCHI,QUIQUIJANA,M,30-59 AÑOS,PERÚ,1
2019,1,150117,LIMA METROPOLITANA,LIMA,LOS OLIVOS,F,6-11 AÑOS,PERÚ,1
2020,11,40201,AREQUIPA,CAMANA,CAMANA,F,12-17 AÑOS,PERÚ,2
2025,6,150130,LIMA METROPOLITANA,LIMA,SAN BORJA,,18-29 AÑOS,PERÚ,1
2025,2,150811,REGIÓN LIMA,HUAURA,SAYAN,F,12-17 AÑOS,PERÚ,1
2019,11,220402,SAN MARTÍN,HUALLAGA,ALTO SAPOSOA,F,12-17 AÑOS,PERÚ,1
2023,12,30213,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,M,18-29 AÑOS,PERÚ,1
2019,3,80901,CUSCO,LA CONVENCION,SANTA ANA,M,12-17 AÑOS,PERÚ,1
2019,8,150143,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,M,12-17 AÑOS,PERÚ,4
2019,6,60105,CAJAMARCA,CAJAMARCA,ENCAÑADA,M,30-59 AÑOS,PERÚ,1
2023,9,140115,LAMBAYEQUE,CHICLAYO,SAÑA,F,12-17 AÑOS,PERÚ,1
2024,11,130203,LA LIBERTAD,ASCOPE,CHOCOPE,M,18-29 AÑOS,PERÚ,1
2025,5,40109,AREQUIPA,AREQUIPA,MARIANO MELGAR,M,30-59 AÑOS,PERÚ,1
2024,2,40704,AREQUIPA,ISLAY,ISLAY,F,12-17 AÑOS,PERÚ,1
2022,3,40117,AREQUIPA,AREQUIPA,SACHACA,M,18-29 AÑOS,PERÚ,1
2024,7,230101,TACNA,TACNA,TACNA,M,12-17 AÑOS,PERÚ,1
2019,11,150111,LIMA METROPOLITANA,LIMA,EL AGUSTINO,F,12-17 AÑOS,VENEZUELA,1
2019,10,150114,LIMA METROPOLITANA,LIMA,LA MOLINA,M,18-29 AÑOS,PERÚ,1
2025,1,21801,ÁNCASH,SANTA,CHIMBOTE,F,12-17 AÑOS,VENEZUELA,1
2019,4,230110,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,F,18-29 AÑOS,PERÚ,6
2019,9,210101,PUNO,PUNO,PUNO,F,12-17 AÑOS,PERÚ,1
2019,11,50110,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,M,12-17 AÑOS,PERÚ,2
2019,1,40117,AREQUIPA,AREQUIPA,SACHACA,M,30-59 AÑOS,PERÚ,1
2019,11,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,12-17 AÑOS,PERÚ,8
2019,10,150117,LIMA METROPOLITANA,LIMA,LOS OLIVOS,F,30-59 AÑOS,PERÚ,4
2024,2,200115,PIURA,PIURA,26 DE OCTUBRE,M,6-11 AÑOS,PERÚ,1
2024,1,130102,LA LIBERTAD,TRUJILLO,EL PORVENIR,F,18-29 AÑOS,PERÚ,2
2021,7,250105,UCAYALI,CORONEL PORTILLO,YARINACOCHA,F,12-17 AÑOS,PERÚ,7
2019,8,190308,PASCO,OXAPAMPA,CONSTITUCION,F,6-11 AÑOS,PERÚ,1
2025,2,210402,PUNO,CHUCUITO,DESAGUADERO,F,18-29 AÑOS,PERÚ,1
2023,8,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,18-29 AÑOS,PERÚ,1
2020,7,10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,F,12-17 AÑOS,PERÚ,1
2025,4,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,18-29 AÑOS,PERÚ,1
2022,9,20606,ÁNCASH,CARHUAZ,MARCARA,M,12-17 AÑOS,PERÚ,1
2020,12,30103,APURIMAC,ABANCAY,CIRCA,F,12-17 AÑOS,PERÚ,1
2024,11,81301,CUSCO,URUBAMBA,URUBAMBA,F,30-59 AÑOS,PERÚ,1
2019,4,150142,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,M,18-29 AÑOS,PERÚ,2
2021,9,210901,PUNO,MOHO,MOHO,F,12-17 AÑOS,PERÚ,1
2019,11,150117,LIMA METROPOLITANA,LIMA,LOS OLIVOS,M,60 A MAS AÑOS,PERÚ,1
2024,6,150144,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,F,18-29 AÑOS,PERÚ,1
2020,12,200501,PIURA,PAITA,PAITA,F,12-17 AÑOS,PERÚ,8
2020,5,150131,LIMA METROPOLITANA,LIMA,SAN ISIDRO,M,60 A MAS AÑOS,PERÚ,1
2019,5,150501,REGIÓN LIMA,CAÑETE,SAN VICENTE DE CAÑETE,M,60 A MAS AÑOS,PERÚ,1
2019,11,20507,ÁNCASH,BOLOGNESI,COLQUIOC,M,,PERÚ,1
2024,10,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,30-59 AÑOS,PERÚ,2
2025,4,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,F,6-11 AÑOS,PERÚ,1
2019,5,150112,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,M,6-11 AÑOS,PERÚ,1
2025,7,120101,JUNÍN,HUANCAYO,HUANCAYO,M,12-17 AÑOS,PERÚ,1
2021,9,70101,CALLAO,CALLAO,CALLAO,F,6-11 AÑOS,PERÚ,2
2023,3,150101,LIMA METROPOLITANA,LIMA,LIMA,F,18-29 AÑOS,PERÚ,4
2020,2,150104,LIMA METROPOLITANA,LIMA,BARRANCO,F,12-17 AÑOS,PERÚ,1
2022,8,110101,ICA,ICA,ICA,M,60 A MAS AÑOS,PERÚ,1
2020,6,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,M,6-11 AÑOS,PERÚ,1
2021,4,100101,HUÁNUCO,HUANUCO,HUANUCO,F,30-59 AÑOS,PERÚ,1
2020,7,250103,UCAYALI,CORONEL PORTILLO,IPARIA,M,18-29 AÑOS,PERÚ,1
2019,3,130704,LA LIBERTAD,PACASMAYO,PACASMAYO,M,12-17 AÑOS,PERÚ,1
2022,7,210109,PUNO,PUNO,MAÑAZO,F,12-17 AÑOS,PERÚ,1
2025,4,80901,CUSCO,LA CONVENCION,SANTA ANA,M,12-17 AÑOS,PERÚ,1
2022,2,40202,AREQUIPA,CAMANA,JOSE MARIA QUIMPER,F,12-17 AÑOS,PERÚ,1
2025,7,130207,LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,F,12-17 AÑOS,PERÚ,1
2022,10,80701,CUSCO,CHUMBIVILCAS,SANTO TOMAS,F,6-11 AÑOS,PERÚ,1
2021,4,150135,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,F,0-5 AÑOS,VENEZUELA,1
2022,12,40122,AREQUIPA,AREQUIPA,SOCABAYA,F,18-29 AÑOS,PERÚ,3
2024,2,70106,CALLAO,CALLAO,VENTANILLA,M,0-5 AÑOS,PERÚ,1
2023,7,150111,LIMA METROPOLITANA,LIMA,EL AGUSTINO,F,12-17 AÑOS,PERÚ,4
2024,1,50116,AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES,F,18-29 AÑOS,PERÚ,2
2019,9,230104,TACNA,TACNA,CIUDAD NUEVA,F,12-17 AÑOS,PERÚ,2
2021,6,160401,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,M,30-59 AÑOS,PERÚ,1
2019,10,200706,PIURA,TALARA,MANCORA,M,18-29 AÑOS,PERÚ,1
2024,9,110504,ICA,PISCO,INDEPENDENCIA,F,12-17 AÑOS,PERÚ,1
2022,1,200602,PIURA,SULLANA,BELLAVISTA,M,12-17 AÑOS,PERÚ,3
2020,9,10702,AMAZONAS,UTCUBAMBA,CAJARURO,F,12-17 AÑOS,PERÚ,1
2020,9,130705,LA LIBERTAD,PACASMAYO,SAN JOSE,F,12-17 AÑOS,PERÚ,1
2019,6,200607,PIURA,SULLANA,QUERECOTILLO,F,12-17 AÑOS,PERÚ,1
2021,8,150133,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,F,12-17 AÑOS,PERÚ,4
2025,1,80501,CUSCO,CANAS,YANAOCA,F,18-29 AÑOS,PERÚ,1
2024,12,210501,PUNO,EL COLLAO,ILAVE,F,12-17 AÑOS,PERÚ,2
2019,4,120134,JUNÍN,HUANCAYO,SICAYA,M,18-29 AÑOS,PERÚ,1
2021,10,100111,HUÁNUCO,HUANUCO,PILLCO MARCA,F,12-17 AÑOS,PERÚ,2
2023,8,200701,PIURA,TALARA,PARIÑAS,M,30-59 AÑOS,PERÚ,1
2025,3,40107,AREQUIPA,AREQUIPA,JACOBO HUNTER,F,18-29 AÑOS,PERÚ,1
2022,1,60802,CAJAMARCA,JAEN,BELLAVISTA,F,12-17 AÑOS,PERÚ,1
2022,5,40112,AREQUIPA,AREQUIPA,PAUCARPATA,M,30-59 AÑOS,PERÚ,2
2020,6,190306,PASCO,OXAPAMPA,PUERTO BERMUDEZ,F,12-17 AÑOS,PERÚ,2
2020,12,20607,ÁNCASH,CARHUAZ,PARIAHUANCA,F,18-29 AÑOS,PERÚ,1
2021,10,81301,CUSCO,URUBAMBA,URUBAMBA,F,18-29 AÑOS,PERÚ,1
2025,7,150140,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,M,12-17 AÑOS,PERÚ,2
2020,11,110105,ICA,ICA,PACHACUTEC,M,30-59 AÑOS,PERÚ,1
2021,6,150125,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,M,60 A MAS AÑOS,PERÚ,3
2023,8,80101,CUSCO,CUSCO,CUSCO,F,18-29 AÑOS,PERÚ,1
2020,9,220203,SAN MARTÍN,BELLAVISTA,BAJO BIAVO,F,12-17 AÑOS,PERÚ,1
2023,4,210807,PUNO,MELGAR,ORURILLO,M,18-29 AÑOS,PERÚ,1
2022,9,150140,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,M,60 A MAS AÑOS,PERÚ,1
2021,3,10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,F,18-29 AÑOS,PERÚ,2
2024,11,150509,REGIÓN LIMA,CAÑETE,MALA,M,18-29 AÑOS,PERÚ,1
2025,6,150119,LIMA METROPOLITANA,LIMA,LURIN,F,18-29 AÑOS,PERÚ,1
2023,5,60802,CAJAMARCA,JAEN,BELLAVISTA,F,18-29 AÑOS,PERÚ,1
2024,3,150144,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,M,30-59 AÑOS,PERÚ,2
2021,12,120201,JUNÍN,CONCEPCION,CONCEPCION,F,18-29 AÑOS,PERÚ,1
2024,3,21503,ÁNCASH,PALLASCA,CONCHUCOS,M,18-29 AÑOS,PERÚ,1
2020,8,150125,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,M,30-59 AÑOS,PERÚ,2
2022,11,150125,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,M,12-17 AÑOS,VENEZUELA,1
2022,3,220802,SAN MARTÍN,RIOJA,AWAJUN,M,18-29 AÑOS,PERÚ,1
2019,11,70101,CALLAO,CALLAO,CALLAO,M,30-59 AÑOS,PERÚ,4
2021,3,150142,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,F,12-17 AÑOS,PERÚ,9
2019,1,80401,CUSCO,CALCA,CALCA,F,12-17 AÑOS,PERÚ,1
2024,7,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,M,18-29 AÑOS,PERÚ,6
2019,11,40112,AREQUIPA,AREQUIPA,PAUCARPATA,F,12-17 AÑOS,PERÚ,6
2024,10,120604,JUNÍN,SATIPO,MAZAMARI,M,12-17 AÑOS,PERÚ,1
2024,12,50203,AYACUCHO,CANGALLO,LOS MOROCHUCOS,M,60 A MAS AÑOS,PERÚ,1
2021,8,200304,PIURA,HUANCABAMBA,HUARMACA,F,12-17 AÑOS,PERÚ,4
2024,4,200701,PIURA,TALARA,PARIÑAS,F,6-11 AÑOS,PERÚ,1
2023,9,80901,CUSCO,LA CONVENCION,SANTA ANA,M,6-11 AÑOS,PERÚ,2
2021,1,150106,LIMA METROPOLITANA,LIMA,CARABAYLLO,M,60 A MAS AÑOS,PERÚ,2
2023,3,60415,CAJAMARCA,CHOTA,QUEROCOTO,M,30-59 AÑOS,PERÚ,1
2021,7,150113,LIMA METROPOLITANA,LIMA,JESUS MARIA,M,30-59 AÑOS,PERÚ,2
2024,4,130102,LA LIBERTAD,TRUJILLO,EL PORVENIR,M,30-59 AÑOS,PERÚ,1
2020,2,200601,PIURA,SULLANA,SULLANA,F,60 A MAS AÑOS,PERÚ,1
2023,12,110103,ICA,ICA,LOS AQUIJES,M,12-17 AÑOS,PERÚ,2
2023,3,140112,LAMBAYEQUE,CHICLAYO,PIMENTEL,M,30-59 AÑOS,PERÚ,2
2019,11,150112,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,F,18-29 AÑOS,PERÚ,6
2023,11,130105,LA LIBERTAD,TRUJILLO,LA ESPERANZA,F,12-17 AÑOS,PERÚ,1
2019,2,130102,LA LIBERTAD,TRUJILLO,EL PORVENIR,F,12-17 AÑOS,PERÚ,7
2023,12,90201,HUANCAVELICA,ACOBAMBA,ACOBAMBA,M,30-59 AÑOS,PERÚ,1
2023,3,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,F,12-17 AÑOS,PERÚ,1
2024,8,60601,CAJAMARCA,CUTERVO,CUTERVO,M,18-29 AÑOS,PERÚ,1
2019,1,150142,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,F,30-59 AÑOS,PERÚ,2
2019,2,140112,LAMBAYEQUE,CHICLAYO,PIMENTEL,M,18-29 AÑOS,PERÚ,1
2019,1,70101,CALLAO,CALLAO,CALLAO,M,30-59 AÑOS,VENEZUELA,1
2023,7,80405,CUSCO,CALCA,PISAC,M,30-59 AÑOS,PERÚ,1
2024,2,130809,LA LIBERTAD,PATAZ,PATAZ,F,18-29 AÑOS,PERÚ,1
2022,3,120107,JUNÍN,HUANCAYO,CHILCA,F,12-17 AÑOS,PERÚ,6
2025,5,130102,LA LIBERTAD,TRUJILLO,EL PORVENIR,F,12-17 AÑOS,PERÚ,6
2019,2,140114,LAMBAYEQUE,CHICLAYO,SANTA ROSA,F,12-17 AÑOS,PERÚ,1
2019,5,150117,LIMA METROPOLITANA,LIMA,LOS OLIVOS,M,18-29 AÑOS,VENEZUELA,2
2025,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,30-59 AÑOS,PERÚ,3
2023,5,40128,AREQUIPA,AREQUIPA,YURA,F,18-29 AÑOS,PERÚ,1
2023,6,150103,LIMA METROPOLITANA,LIMA,ATE,M,18-29 AÑOS,PERÚ,8
2020,9,200101,PIURA,PIURA,PIURA,F,12-17 AÑOS,PERÚ,13
2021,3,80301,CUSCO,ANTA,ANTA,F,12-17 AÑOS,PERÚ,1
2019,1,150128,LIMA METROPOLITANA,LIMA,RIMAC,F,12-17 AÑOS,PERÚ,5
2021,10,80105,CUSCO,CUSCO,SAN SEBASTIAN,M,12-17 AÑOS,PERÚ,3
2024,2,100902,HUÁNUCO,PUERTO INCA,CODO DEL POZUZO,F,12-17 AÑOS,PERÚ,1
2022,4,150115,LIMA METROPOLITANA,LIMA,LA VICTORIA,M,30-59 AÑOS,PERÚ,1
2024,4,50603,AYACUCHO,LUCANAS,CABANA,M,60 A MAS AÑOS,PERÚ,1
2022,7,30101,APURIMAC,ABANCAY,ABANCAY,F,12-17 AÑOS,PERÚ,1
2022,6,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,M,12-17 AÑOS,PERÚ,2
2024,2,150139,LIMA METROPOLITANA,LIMA,SANTA ROSA,M,18-29 AÑOS,PERÚ,1
2024,12,200605,PIURA,SULLANA,MARCAVELICA,F,12-17 AÑOS,PERÚ,2
2019,9,150136,LIMA METROPOLITANA,LIMA,SAN MIGUEL,F,6-11 AÑOS,PERÚ,2
2023,6,150103,LIMA METROPOLITANA,LIMA,ATE,M,60 A MAS AÑOS,PERÚ,1
2022,3,150510,REGIÓN LIMA,CAÑETE,NUEVO IMPERIAL,M,30-59 AÑOS,PERÚ,2
2024,3,40406,AREQUIPA,CASTILLA,CHOCO,M,60 A MAS AÑOS,PERÚ,1
2021,2,150111,LIMA METROPOLITANA,LIMA,EL AGUSTINO,F,,PERÚ,1
2020,10,230102,TACNA,TACNA,ALTO DE LA ALIANZA,F,12-17 AÑOS,PERÚ,1
2024,12,200114,PIURA,PIURA,TAMBO GRANDE,F,18-29 AÑOS,PERÚ,1
2022,1,220507,SAN MARTÍN,LAMAS,RUMISAPA,M,60 A MAS AÑOS,PERÚ,1
2023,11,210101,PUNO,PUNO,PUNO,F,60 A MAS AÑOS,PERÚ,1
2021,9,220901,SAN MARTÍN,SAN MARTIN,TARAPOTO,M,30-59 AÑOS,PERÚ,2
2023,7,200101,PIURA,PIURA,PIURA,F,12-17 AÑOS,PERÚ,8
2021,7,150136,LIMA METROPOLITANA,LIMA,SAN MIGUEL,F,12-17 AÑOS,VENEZUELA,1
2019,11,150109,LIMA METROPOLITANA,LIMA,CIENEGUILLA,F,12-17 AÑOS,PERÚ,1
2023,2,120107,JUNÍN,HUANCAYO,CHILCA,M,30-59 AÑOS,PERÚ,1
2024,2,150117,LIMA METROPOLITANA,LIMA,LOS OLIVOS,F,30-59 AÑOS,PERÚ,4
2025,2,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,M,30-59 AÑOS,CUBA,1
2021,10,100802,HUÁNUCO,PACHITEA,CHAGLLA,M,30-59 AÑOS,PERÚ,1
2023,6,150101,LIMA METROPOLITANA,LIMA,LIMA,M,30-59 AÑOS,PERÚ,5
2023,10,40606,AREQUIPA,CONDESUYOS,RIO GRANDE,F,30-59 AÑOS,PERÚ,1
2020,3,80101,CUSCO,CUSCO,CUSCO,M,30-59 AÑOS,PERÚ,3
2023,7,30101,APURIMAC,ABANCAY,ABANCAY,M,60 A MAS AÑOS,PERÚ,1
2023,5,150203,REGIÓN LIMA,BARRANCA,PATIVILCA,M,12-17 AÑOS,PERÚ,1
2019,11,210801,PUNO,MELGAR,AYAVIRI,F,12-17 AÑOS,PERÚ,2
2023,3,210105,PUNO,PUNO,CAPACHICA,M,60 A MAS AÑOS,PERÚ,1
2019,1,150112,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,F,18-29 AÑOS,VENEZUELA,1
2019,8,30602,APURIMAC,CHINCHEROS,ANCO_HUALLO,F,12-17 AÑOS,PERÚ,1
2023,7,150118,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,M,12-17 AÑOS,PERÚ,1
2019,11,110202,ICA,CHINCHA,ALTO LARAN,F,12-17 AÑOS,PERÚ,1
2025,5,140114,LAMBAYEQUE,CHICLAYO,SANTA ROSA,F,12-17 AÑOS,PERÚ,1
2021,3,230101,TACNA,TACNA,TACNA,F,12-17 AÑOS,PERÚ,3
2023,10,40129,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,F,18-29 AÑOS,PERÚ,2
2021,6,120701,JUNÍN,TARMA,TARMA,F,12-17 AÑOS,PERÚ,9
2024,6,150112,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,M,30-59 AÑOS,PERÚ,1
2025,2,80101,CUSCO,CUSCO,CUSCO,M,18-29 AÑOS,PERÚ,1
2021,1,120405,JUNÍN,JAUJA,CANCHAYLLO,F,12-17 AÑOS,PERÚ,1
2023,9,230102,TACNA,TACNA,ALTO DE LA ALIANZA,F,60 A MAS AÑOS,PERÚ,1
2020,11,80105,CUSCO,CUSCO,SAN SEBASTIAN,M,6-11 AÑOS,PERÚ,1
2023,10,30506,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,F,12-17 AÑOS,PERÚ,1
2021,6,140103,LAMBAYEQUE,CHICLAYO,ETEN,F,30-59 AÑOS,PERÚ,1
2019,8,120114,JUNÍN,HUANCAYO,EL TAMBO,M,0-5 AÑOS,PERÚ,1
2024,1,40129,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,M,30-59 AÑOS,PERÚ,4
2020,12,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,F,18-29 AÑOS,PERÚ,1
2020,11,110207,ICA,CHINCHA,PUEBLO NUEVO,F,12-17 AÑOS,PERÚ,2
2024,3,150111,LIMA METROPOLITANA,LIMA,EL AGUSTINO,F,12-17 AÑOS,VENEZUELA,1
2022,7,150113,LIMA METROPOLITANA,LIMA,JESUS MARIA,F,60 A MAS AÑOS,PERÚ,1
2023,2,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,M,6-11 AÑOS,PERÚ,1
2022,6,120607,JUNÍN,SATIPO,RIO NEGRO,F,12-17 AÑOS,PERÚ,1
2020,3,200410,PIURA,MORROPON,YAMANGO,F,18-29 AÑOS,PERÚ,1
2019,5,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,F,12-17 AÑOS,PERÚ,8
2023,8,40101,AREQUIPA,AREQUIPA,AREQUIPA,F,6-11 AÑOS,PERÚ,1
2023,2,40203,AREQUIPA,CAMANA,MARIANO NICOLAS VALCARCEL,F,60 A MAS AÑOS,PERÚ,1
2019,4,21809,ÁNCASH,SANTA,NUEVO CHIMBOTE,M,18-29 AÑOS,PERÚ,1
2025,3,150502,REGIÓN LIMA,CAÑETE,ASIA,F,18-29 AÑOS,PERÚ,1
2022,10,150407,REGIÓN LIMA,CANTA,SANTA ROSA DE QUIVES,M,60 A MAS AÑOS,PERÚ,1
2022,9,80406,CUSCO,CALCA,SAN SALVADOR,F,60 A MAS AÑOS,PERÚ,1
2024,9,40117,AREQUIPA,AREQUIPA,SACHACA,F,18-29 AÑOS,PERÚ,1
2021,9,30101,APURIMAC,ABANCAY,ABANCAY,F,12-17 AÑOS,PERÚ,5
